Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Pressure Units,Precipitable Water Units,Wind Speed Units,Version
NSRDB,125,-,-,-,18.219999313354492,-67.1500015258789,-4,35,-4,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,mbar,mm,m/s,unknown
Year,Month,Day,Hour,Minute,Wind Speed,Clearsky GHI,GHI
2017,1,1,0,0,4.5,0,0
2017,1,1,0,5,4.5,0,0
2017,1,1,0,10,4.5,0,0
2017,1,1,0,15,4.4,0,0
2017,1,1,0,20,4.4,0,0
2017,1,1,0,25,4.4,0,0
2017,1,1,0,30,4.4,0,0
2017,1,1,0,35,4.4,0,0
2017,1,1,0,40,4.4,0,0
2017,1,1,0,45,4.4,0,0
2017,1,1,0,50,4.4,0,0
2017,1,1,0,55,4.4,0,0
2017,1,1,1,0,4.4,0,0
2017,1,1,1,5,4.4,0,0
2017,1,1,1,10,4.4,0,0
2017,1,1,1,15,4.4,0,0
2017,1,1,1,20,4.4,0,0
2017,1,1,1,25,4.4,0,0
2017,1,1,1,30,4.4,0,0
2017,1,1,1,35,4.4,0,0
2017,1,1,1,40,4.4,0,0
2017,1,1,1,45,4.4,0,0
2017,1,1,1,50,4.4,0,0
2017,1,1,1,55,4.4,0,0
2017,1,1,2,0,4.4,0,0
2017,1,1,2,5,4.4,0,0
2017,1,1,2,10,4.4,0,0
2017,1,1,2,15,4.4,0,0
2017,1,1,2,20,4.3,0,0
2017,1,1,2,25,4.3,0,0
2017,1,1,2,30,4.3,0,0
2017,1,1,2,35,4.3,0,0
2017,1,1,2,40,4.3,0,0
2017,1,1,2,45,4.3,0,0
2017,1,1,2,50,4.3,0,0
2017,1,1,2,55,4.3,0,0
2017,1,1,3,0,4.3,0,0
2017,1,1,3,5,4.3,0,0
2017,1,1,3,10,4.3,0,0
2017,1,1,3,15,4.3,0,0
2017,1,1,3,20,4.3,0,0
2017,1,1,3,25,4.3,0,0
2017,1,1,3,30,4.3,0,0
2017,1,1,3,35,4.3,0,0
2017,1,1,3,40,4.3,0,0
2017,1,1,3,45,4.4,0,0
2017,1,1,3,50,4.4,0,0
2017,1,1,3,55,4.4,0,0
2017,1,1,4,0,4.4,0,0
2017,1,1,4,5,4.4,0,0
2017,1,1,4,10,4.4,0,0
2017,1,1,4,15,4.4,0,0
2017,1,1,4,20,4.4,0,0
2017,1,1,4,25,4.4,0,0
2017,1,1,4,30,4.4,0,0
2017,1,1,4,35,4.4,0,0
2017,1,1,4,40,4.4,0,0
2017,1,1,4,45,4.4,0,0
2017,1,1,4,50,4.5,0,0
2017,1,1,4,55,4.5,0,0
2017,1,1,5,0,4.5,0,0
2017,1,1,5,5,4.5,0,0
2017,1,1,5,10,4.5,0,0
2017,1,1,5,15,4.5,0,0
2017,1,1,5,20,4.5,0,0
2017,1,1,5,25,4.5,0,0
2017,1,1,5,30,4.5,0,0
2017,1,1,5,35,4.5,0,0
